ECCENTRICITY,INCLINATION,MEAN_MOTION_DOT
0.0001733,43.009,-0.01069078
0.0001779,43.009,-0.01089574
0.0001343,43.0089,-0.01094335
0.0001755,43.0091,-0.01128534
0.0001669,43.0091,-0.01137386
0.0001663,43.0091,-0.01154082
0.0001845,43.0091,-0.01155368
0.0001644,43.0092,-0.01168425
0.0001837,43.0093,-0.01180337
0.0002755,43.0107,0.00125442
0.000207,43.0097,0.00136304
4.95e-05,53.1608,-0.00463619
6.66e-05,53.1618,-0.00717803
7.05e-05,53.1617,-0.00721499
8.81e-05,53.1618,-0.00734215
6.77e-05,53.1619,-0.00734381
4.09e-05,53.1618,-0.00734668
5.7e-05,53.1619,-0.00737041
7.63e-05,53.1619,-0.00742644
4.1e-05,53.1619,-0.00748235
7.77e-05,53.162,-0.00747927
6.41e-05,53.1619,-0.00754129
7.33e-05,53.1619,-0.00762615
6.55e-05,53.1619,-0.00769355
7.92e-05,53.162,-0.00762364
5.09e-05,53.1621,-0.00769253
7.12e-05,53.1622,-0.00775186
6.12e-05,53.162,-0.00773922
6.69e-05,53.1621,-0.00776876
6.48e-05,53.1623,-0.00784423
5.59e-05,53.1623,-0.00782854
4.79e-05,53.1623,-0.00790335
5.86e-05,53.1623,-0.00787349
6.46e-05,53.1622,-0.00791341
7.69e-05,53.1622,-0.00797343
3.06e-05,53.1623,-0.00800937
4.53e-05,53.1621,-0.00800789
5.54e-05,53.1621,-0.00799725
0.7305768,28.4771,2.27e-06
0.7240991,28.4582,0.00063749
