OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-11178 [DTC],2024-254D,2025-01-25T20:14:27.310560,15.77857533,.0000849,42.9999,163.4901,271.2925,88.7848,0,U,62465,999,507,.26923E-5,-.29E-6,0
STARLINK-11506 [DTC],2024-254E,2025-01-25T22:00:01.999584,15.77852862,.0001785,43.0000,162.9758,276.1278,168.6760,0,U,62466,999,512,.11483E-3,.19527E-3,0
STARLINK-11486 [DTC],2024-254F,2025-01-25T22:00:01.999584,15.77893636,.0001599,43.0000,162.9060,269.7913,202.7395,0,U,62467,999,528,-.19602E-3,-.34529E-3,0
STARLINK-11511 [DTC],2024-254G,2025-01-25T22:00:01.999584,15.77873281,.0001834,42.9961,162.8349,270.1621,230.1285,0,U,62468,999,528,.34499E-4,.5513E-4,0
STARLINK-11505 [DTC],2024-254H,2025-01-25T22:00:01.999584,15.77902928,.000241,42.9952,162.7653,267.8920,260.1376,0,U,62469,999,527,-.28371E-3,-.49694E-3,0
STARLINK-11497 [DTC],2024-254J,2025-01-25T22:00:01.999584,15.79878634,.0001579,42.9926,162.7031,280.1310,272.6691,0,U,62470,999,528,-.65145E-2,-.1113913E-1,0
STARLINK-11477 [DTC],2024-254K,2025-01-25T12:02:35.021472,15.83852192,.0006907,42.9923,165.2104,299.3637,60.6545,0,U,62471,999,517,-.97463E-3,-.219341E-2,0
STARLINK-11500 [DTC],2024-254L,2025-01-25T18:04:51.694176,15.84424853,.0001824,42.9918,163.6535,272.7298,87.3366,0,U,62472,999,469,.13E-3,.30235E-3,0
STARLINK-11464 [DTC],2024-254M,2025-01-25T18:04:22.431360,15.84378263,.00014,42.9919,163.6518,257.8726,102.1990,0,U,62473,999,522,-.41727E-4,-.10368E-3,0
STARLINK-11502 [DTC],2024-254N,2025-01-25T18:03:48.496896,15.84456520,.0002061,42.9922,163.6517,262.9525,97.1113,0,U,62474,999,522,.13248E-3,.30872E-3,0
STARLINK-32657,2024-254P,2025-01-25T22:00:01.999584,15.51107433,.0001627,42.9995,164.2143,274.3305,32.1563,0,U,62475,999,512,-.13445E-1,-.742559E-2,0
STARLINK-32734,2024-254Q,2025-01-25T22:00:01.999584,15.51101508,.000153,42.9994,164.2092,284.9449,23.4579,0,U,62476,999,528,-.12833E-1,-.702161E-2,0
STARLINK-32733,2024-254R,2025-01-25T22:00:01.999584,15.51101094,.0001514,42.9995,164.2050,285.5867,24.7332,0,U,62477,999,528,-.12829E-1,-.701948E-2,0
STARLINK-32707,2024-254S,2025-01-25T22:00:01.999584,15.51102123,.0001547,42.9995,164.1941,284.6114,29.5414,0,U,62478,999,528,-.12841E-1,-.70258E-2,0
STARLINK-32705,2024-254T,2025-01-25T22:00:01.999584,15.51111134,.0001547,42.9995,164.1896,275.5356,40.5346,0,U,62479,999,512,-.13605E-1,-.750807E-2,0
STARLINK-32743,2024-254U,2025-01-25T22:00:01.999584,15.51101618,.000154,42.9994,164.1995,284.9614,27.2749,0,U,62480,999,528,-.12835E-1,-.702266E-2,0
STARLINK-32753,2024-254V,2025-01-25T22:00:01.999584,15.51102254,.0001538,42.9995,164.1847,284.5410,33.4457,0,U,62481,999,528,-.12843E-1,-.702682E-2,0
STARLINK-32699,2024-254W,2025-01-25T22:00:01.999584,15.51109882,.0001629,42.9996,164.1799,274.1996,45.7053,0,U,62482,999,512,-.13601E-1,-.750586E-2,0
